id,EAP,HPL,MWS
id02310,0.052269407,0.036063664,0.911667
id24541,0.96025133,0.034445375,0.005303173
id00134,0.040144246,0.94899124,0.010864514
id27757,0.95578855,0.037663016,0.006548422
id04081,0.8633123,0.028282173,0.1084056
id27337,0.79660505,0.18790665,0.015488294
id24265,0.7963474,0.1797677,0.023884907
id25917,0.0075395405,0.015356025,0.9771045
id04951,0.9712639,0.027970878,0.00076516264
id14549,0.9644337,0.01051981,0.025046438
id22505,0.003178203,0.02113683,0.975685
id24002,0.0007420332,0.9989297,0.00032831385
id18982,0.010230984,0.013677192,0.9760918
id15181,0.0015174622,0.9983021,0.00018046201
id21888,0.93423104,0.03244424,0.033324745
id12035,0.007356664,0.00073356676,0.9919098
id17991,0.57773674,0.03433025,0.38793296
id10707,0.99922514,0.00062732183,0.00014754567
id07101,0.66067016,0.037924986,0.3014048
id00345,0.9560647,0.038604364,0.005330962
id05912,0.9590907,0.016306888,0.024602382
id13443,0.68008137,0.0051694405,0.31474912
id09248,0.3741043,0.058401514,0.56749415
id17542,0.041200787,0.9531891,0.0056102145
id06995,0.014928998,0.004070912,0.98100007
id25159,0.358147,0.009793073,0.6320599
id25729,0.7380884,0.21676421,0.045147385
id26949,0.17029347,0.8153884,0.014318108
id27191,0.065909065,0.0027082043,0.9313828
id07668,0.0022146532,0.00071701367,0.99706835
id02230,0.053235017,0.020980153,0.9257849
id15553,0.99617356,0.0028282239,0.0009982386
id25688,0.0003452062,0.9993062,0.00034861185
id17545,0.9791373,0.013679142,0.007183593
id13929,0.51279837,0.369975,0.117226616
id12880,0.17087236,0.26081616,0.5683115
id19282,0.57065237,0.3435614,0.08578621
id14690,0.004386145,0.00048479755,0.9951291
id17975,0.005030756,0.9938334,0.0011358244
id08037,0.91194963,0.0041968483,0.08385348
id15412,0.03825869,0.0009238412,0.96081746
id25032,0.27604812,0.090314716,0.6336372
id27165,0.9931298,0.003508172,0.0033620333
id03327,0.9490486,0.027320987,0.023630459
id18515,0.9821554,0.009969896,0.007874743
