id,EAP,HPL,MWS
id02310,0.006470324,0.0038206798,0.98970896
id24541,0.9396338,0.043456677,0.016909521
id00134,0.08753654,0.8936228,0.018840682
id27757,0.67813414,0.30513176,0.016734075
id04081,0.8371584,0.06540963,0.09743202
id27337,0.8083706,0.18098079,0.010648665
id24265,0.8683974,0.11212823,0.019474346
id25917,0.047569226,0.066128545,0.88630223
id04951,0.9996495,0.000268052,8.243282e-05
id14549,0.91438895,0.014284637,0.07132647
id22505,0.0065410454,0.087103084,0.90635586
id24002,3.2840733e-05,0.99995434,1.2733862e-05
id18982,0.035495706,0.051892947,0.91261137
id15181,0.0023166959,0.9973459,0.00033725522
id21888,0.8705598,0.020642128,0.1087981
id12035,0.001379681,0.0005060662,0.9981142
id17991,0.42008922,0.080174886,0.49973592
id10707,0.99994755,7.994092e-06,4.450547e-05
id07101,0.0598916,0.010408285,0.92970014
id00345,0.7954974,0.18308476,0.021417802
id05912,0.8418482,0.017036788,0.14111504
id13443,0.5331678,0.041674953,0.42515728
id09248,0.09084456,0.041836932,0.86731845
id17542,0.032291066,0.9498039,0.017905047
id06995,0.09212914,0.2430076,0.6648633
id25159,0.5600078,0.028142596,0.41184956
id25729,0.14052059,0.8215516,0.0379278
id26949,0.8602962,0.11641583,0.023287967
id27191,0.0075975345,0.0020256515,0.9903768
id07668,0.03900094,0.050873958,0.9101251
id02230,0.039169215,0.074781105,0.8860497
id15553,0.99922454,0.00014044796,0.0006350588
id25688,0.00041765,0.99905044,0.00053190714
id17545,0.988047,0.009212755,0.002740219
id13929,0.6981963,0.10483898,0.19696477
id12880,0.062007103,0.08050455,0.85748833
id19282,0.36750183,0.5200667,0.112431504
id14690,0.0044800015,0.0025843482,0.9929356
id17975,0.0017671008,0.9953465,0.0028864394
id08037,0.78721154,0.14337908,0.069409385
id15412,0.03068572,0.008556414,0.9607579
id25032,0.43110666,0.059527885,0.50936544
id27165,0.9997384,5.774674e-05,0.00020374733
id03327,0.9321444,0.026087707,0.041767847
id18515,0.9925605,0.0013638488,0.006075646
id21003,0.05499717,0.004247851,0.940755
id23855,0.00017024516,0.9994253,0.00040444735
id20724,0.651079,0.06359575,0.28532526
id13303,0.6307692,0.025292417,0.34393847
id16521,0.00642272,0.64166594,0.35191137
id20775,0.9979479,0.0006828247,0.001369288
id13029,0.98520386,0.009670253,0.005125851
id14660,0.762516,0.2192875,0.01819653
id11028,0.00017488375,4.437676e-05,0.9997807
id14180,0.997282,0.0021187027,0.0005992863
id25860,0.9992423,0.00043991048,0.0003177651
id11910,0.35977852,0.020281797,0.61993974
id08065,0.026824038,0.008545992,0.96462995
id22674,0.009063844,0.0018788206,0.98905736
id25018,0.059023432,0.005901593,0.935075
id10892,0.0851734,0.90619266,0.0086340215
id10217,0.011569491,0.9875194,0.0009111759
id12996,0.5144905,0.090774894,0.3947347
id18262,0.8050288,0.088782325,0.10618881
id08606,0.00045618496,0.9991792,0.00036457035
id17233,0.76491296,0.05162488,0.1834621
id00101,0.70260864,0.19521026,0.1021811
id12225,0.86170644,0.092618205,0.045675334
id01364,0.04935232,0.9263331,0.0243145
id24973,0.9077792,0.008623301,0.08359756
id25363,0.97231007,0.004230377,0.023459537
id10061,0.5138684,0.12398553,0.362146
id17673,0.46314356,0.4411346,0.095721856
id13249,0.1662069,0.049899865,0.7838933
id10107,0.00033195017,0.00022579446,0.9994423
id04403,0.99313086,0.004432325,0.0024368814
id25728,0.98516154,0.004246773,0.010591751
id16184,0.50182813,0.12675613,0.37141576
id03438,0.0004914822,4.992531e-05,0.9994586
id22923,0.017241292,0.9766316,0.006127122
id08610,0.99811894,0.00017623094,0.0017047944
id25355,0.033279024,0.016608924,0.9501121
id16916,0.9925047,0.004061154,0.0034341447
id12793,0.02224265,0.96307635,0.014681043
id11859,0.7682327,0.017532444,0.21423489
id02434,0.9999491,1.3823405e-05,3.7123657e-05
id27703,0.003177232,0.0013425768,0.9954802
id25212,0.04160232,0.95088255,0.007515145
id11308,0.16632052,0.5256054,0.3080741
id26094,0.94101006,0.050829783,0.008160155
id22080,0.8934485,0.103635855,0.0029157286
id03545,0.73785645,0.23947114,0.022672439
id23725,0.0076037706,0.009321889,0.98307437
id12009,0.93595856,0.021022601,0.043018807
id24241,0.5993398,0.14130937,0.25935087
id03596,0.115387045,0.87387025,0.01074272
id10749,0.0019207832,0.9964551,0.001624129
id22794,0.00042787753,0.0007093853,0.99886274
id15482,0.018378787,0.9568206,0.024800563
id04833,0.5645597,0.40455928,0.030881008
id00397,0.0025642114,0.0006833258,0.9967525
id14691,0.1258284,0.090231664,0.78393996
id05193,0.002134909,0.00050634594,0.99735874
id19541,0.9950428,0.0028336318,0.0021235037
id22166,5.4537366e-05,0.00010826024,0.99983716
id20744,0.0059783407,0.0016556728,0.992366
id10392,0.0022254053,0.00058315153,0.9971915
id00770,0.93482614,0.052575458,0.012598369
